time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2017/07/11/15:59:15.038092,3015198,1499759958,986044030,,0.784428354732,0.397584472346,0.16762162531,0.622602460807,0.779692082685,0.0573573165958,0.0340083846872,-0.000689592968083,-0.00670231215742,-0.00260498597561,-0.00613192654653,-0.000317567012316,-0.00440587768502,4.29334402084,1.39067912102,-1.91488361359,-0.875770390034,1.80170786381,0.0483878850937
2017/07/11/15:59:15.047717,3015199,1499759958,996043747,,0.783882942713,0.398031199652,0.167127946782,0.62207215765,0.780173778556,0.0569029495134,0.0334239475084,-0.00362996039667,-0.00469747333131,-0.00536453206324,-0.00625487130732,0.0060388801092,0.00309667933486,4.45514154434,1.47181725502,-1.72347319126,-0.885199487209,1.89682817459,0.0650442242622
2017/07/11/15:59:15.057886,3015200,1499759959,6040557,,0.784077545653,0.397920082394,0.167185455976,0.62234692987,0.779935430708,0.0570624377876,0.0335991220503,1.36487395303e-05,-0.0041120993589,-0.00822931278815,-0.00229964282236,0.00965763839115,-0.000816375056688,4.26266431808,1.44663107395,-1.64608836174,-0.830628633499,1.80785739422,0.0900908857584
2017/07/11/15:59:15.067839,3015201,1499759959,16044556,,0.783614124939,0.398124443964,0.166863876662,0.62228717868,0.780032291284,0.0567391301433,0.0329994380978,0.00426384187142,-0.0150942528785,0.0016992639646,-0.0111328715196,-0.0108596551191,-0.0106792274296,4.54917907715,1.53021967411,-1.59206867218,-0.987380564213,1.91146957874,0.0231804251671
2017/07/11/15:59:15.078331,3015202,1499759959,26044271,,0.783501081221,0.397919985097,0.167180735058,0.622352055729,0.779983741978,0.056557790013,0.0332339791281,-0.0132466748856,0.0123947272431,-0.0100890682603,0.0153678799542,0.0315119527091,0.0055731393993,4.18096971512,1.49617993832,-1.36980783939,-0.948058724403,1.76413428783,0.0310447961092
2017/07/11/15:59:15.087701,3015203,1499759959,36044407,,0.783859306688,0.397499727373,0.166848078845,0.622745358758,0.779653234493,0.0568938519211,0.0330475672934,-0.00309623253817,-0.0154702276427,-0.000403471844181,-0.0157377936374,0.0108690596917,-0.0185656366533,3.71929931641,1.37446069717,-1.1751383543,-0.927955746651,1.57613110542,0.00451926887035
2017/07/11/15:59:15.098085,3015204,1499759959,46038312,,0.784070920811,0.398166648941,0.167318969811,0.62207745558,0.780150842963,0.0570517063117,0.0336066108146,-0.00363245670482,-0.0119091407697,-0.0118787354831,-0.00999835905396,0.0156332533198,-0.0131614845653,3.59044194221,1.27418231964,-0.796914994717,-0.855154156685,1.55316925049,0.0388308614492
2017/07/11/15:59:15.107802,3015205,1499759959,56044952,,0.783974871282,0.397190449484,0.167219600458,0.622393963261,0.779919440111,0.0566582020275,0.0337826816135,-0.011070047441,0.00429168321152,-0.0127962407169,-0.00473618573349,0.0314588902672,0.0163731809545,4.09286117554,1.60662698746,-0.579493522644,-1.00270080566,1.75306725502,0.00575397908688
2017/07/11/15:59:15.117788,3015206,1499759959,66046302,,0.783281063523,0.397513335386,0.16674542711,0.622507924619,0.779892432808,0.0562924872354,0.0329064266627,-0.0186614511143,-0.00628464062449,-0.0147780169973,-0.0039429096791,0.0501801424445,-0.00561677532758,4.2740149498,1.68965029716,-0.478215187788,-1.03230428696,1.78286790848,0.00692068040371
2017/07/11/15:59:15.127711,3015207,1499759959,76045367,,0.782774714619,0.398103081693,0.166401418724,0.622217696897,0.780163422801,0.0559709846876,0.0325179990873,-0.0290327606203,0.0152772953106,-0.0149803165952,-0.0042830745905,0.0622816436299,0.0234092409946,2.75224471092,0.934944748878,0.0108367726207,-0.616093099117,1.13151752949,0.0865962207317
2017/07/11/15:59:15.137773,3015208,1499759959,86046278,,0.782655090584,0.396716364799,0.166060086255,0.622741578377,0.779779597782,0.0555495680438,0.0324183733905,-0.022297232731,-0.00537795257739,-0.00198386907496,-0.0292270543651,0.0418631257395,0.0171331824249,1.41886270046,0.213458418846,0.84960603714,-0.283765375614,0.683836102486,0.133228674531
2017/07/11/15:59:15.147663,3015209,1499759959,96052829,,0.783038026842,0.396870695947,0.16669946962,0.622452156443,0.779968619055,0.0556376258569,0.0332674137617,-0.00142420684524,-0.0244181043204,-0.0029888600429,-0.0110604913821,0.0032737145424,-0.0173092640341,2.06914639473,0.00468844175339,1.37159335613,-0.124611780047,1.0025562048,0.210778594017
2017/07/11/15:59:15.157706,3015210,1499759959,106043664,,0.78292417533,0.396622759488,0.166323365702,0.622975429816,0.77956333933,0.055732123065,0.0328107341778,-0.0137204939456,-0.0143620232954,-0.017257713441,0.00154880143957,0.0327183195122,-0.0206322962569,2.61993265152,-0.090929299593,1.45203089714,-0.0300679206848,1.20117771626,0.236267596483
2017/07/11/15:59:15.167630,3015211,1499759959,116043540,,0.782134952127,0.39722175037,0.165542843082,0.622345352942,0.780138795502,0.0550511119234,0.0322350197828,-0.00127373410564,-0.0134155709325,-0.00230152251728,-0.0218891196521,-0.00638148426268,-0.00183286795869,3.14533185959,0.641452908516,1.68291819096,-0.452677428722,1.39266002178,0.141340389848
2017/07/11/15:59:15.177602,3015212,1499759959,126044855,,0.782531455976,0.395473000569,0.166012872367,0.622901629352,0.779678262794,0.0548300866426,0.0330004284272,-0.0166216626651,-0.0195668977609,-0.0116593639816,-0.0509714472732,0.0274250466982,0.0105650639454,3.64255189896,0.675926089287,1.65904593468,-0.400269269943,1.62185025215,0.176170215011
