time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.quat0,.quat1,.quat2,.quat3,.acc0,.acc1,.acc2
2017/07/11/15:59:15.056711,164518,1499759955,56463003,0,4037,4419,9268,12111,225,1911,419
2017/07/11/15:59:15.063575,164519,1499759955,63258886,0,4022,4406,9298,12098,215,2028,365
2017/07/11/15:59:15.086048,164520,1499759955,85683107,0,4011,4390,9314,12095,169,1982,395
2017/07/11/15:59:15.108437,164521,1499759955,108205080,0,4003,4389,9324,12090,207,1915,386
2017/07/11/15:59:15.123457,164522,1499759955,123220920,0,3997,4389,9326,12091,217,1889,428
2017/07/11/15:59:15.146664,164523,1499759955,146253108,0,3978,4394,9336,12088,259,1940,461
2017/07/11/15:59:15.176912,164524,1499759955,176639080,0,3965,4397,9342,12086,204,1976,379
2017/07/11/15:59:15.183660,164525,1499759955,183345079,0,3948,4396,9332,12100,238,1984,442
2017/07/11/15:59:15.206309,164526,1499759955,205977916,0,3936,4407,9320,12109,226,1880,390
2017/07/11/15:59:15.229077,164527,1499759955,228859901,0,3928,4418,9310,12115,243,1880,392
2017/07/11/15:59:15.243804,164528,1499759955,243346929,0,3915,4436,9313,12111,283,1934,361
2017/07/11/15:59:15.275263,164529,1499759955,275072097,0,3903,4437,9298,12125,282,2037,412
2017/07/11/15:59:15.288552,164530,1499759955,288315057,0,3901,4436,9270,12149,205,1900,489
2017/07/11/15:59:15.303508,164531,1499759955,303200006,0,3898,4451,9259,12152,206,1773,372
2017/07/11/15:59:15.325820,164532,1499759955,325541973,0,3896,4464,9261,12147,289,1978,439
2017/07/11/15:59:15.348630,164533,1499759955,348393917,0,3880,4476,9272,12138,290,2006,394
2017/07/11/15:59:15.363587,164534,1499759955,363275051,0,3864,4488,9263,12147,247,2001,388
2017/07/11/15:59:15.387444,164535,1499759955,387233972,0,3851,4501,9238,12165,279,1877,393
2017/07/11/15:59:15.409652,164536,1499759955,409518957,0,3836,4519,9221,12176,299,1873,461
2017/07/11/15:59:15.423156,164537,1499759955,423039913,0,3810,4545,9242,12158,282,1949,419
2017/07/11/15:59:15.445806,164538,1499759955,445564985,0,3799,4564,9263,12138,279,1983,410
2017/07/11/15:59:15.468617,164539,1499759955,468394041,0,3794,4577,9262,12136,324,1913,434
2017/07/11/15:59:15.500216,164540,1499759955,499203920,0,3774,4589,9255,12143,354,1803,433
2017/07/11/15:59:15.506071,164541,1499759955,505815982,0,3745,4592,9266,12142,367,1819,433
2017/07/11/15:59:15.528458,164542,1499759955,528296947,0,3738,4584,9297,12123,290,1909,387
2017/07/11/15:59:15.551785,164543,1499759955,551440954,0,3756,4570,9311,12112,398,1986,429
2017/07/11/15:59:15.567588,164544,1499759955,567332029,0,3766,4533,9300,12132,437,1921,459
2017/07/11/15:59:15.588913,164545,1499759955,588462114,0,3766,4483,9299,12151,299,1747,425
2017/07/11/15:59:15.611195,164546,1499759955,610800027,0,3778,4430,9338,12137,216,1952,408
2017/07/11/15:59:15.626321,164547,1499759955,625895023,0,3803,4363,9374,12126,244,2094,432
2017/07/11/15:59:15.664734,164548,1499759955,663783073,0,3823,4293,9377,12142,293,2055,480
2017/07/11/15:59:15.670974,164549,1499759955,670813083,0,3816,4224,9372,12173,350,1981,482
2017/07/11/15:59:15.686505,164550,1499759955,685828924,0,3799,4144,9363,12212,216,2157,447
2017/07/11/15:59:15.716276,164551,1499759955,716156005,0,3817,4026,9405,12214,40,2049,472
2017/07/11/15:59:15.738819,164552,1499759955,738642930,0,3837,3914,9461,12200,186,2076,434
2017/07/11/15:59:15.745540,164553,1499759955,745398998,0,3861,3781,9511,12196,64,2111,511
2017/07/11/15:59:15.768727,164554,1499759955,768459081,0,3889,3647,9559,12191,45,2010,530
2017/07/11/15:59:15.791041,164555,1499759955,790811061,0,3922,3494,9604,12189,4,2078,501
2017/07/11/15:59:15.805601,164556,1499759955,805460929,0,3976,3319,9653,12182,-165,2102,454
2017/07/11/15:59:15.829200,164557,1499759955,828826904,0,4036,3153,9694,12173,-144,1989,483
2017/07/11/15:59:15.851126,164558,1499759955,850837945,0,4095,2987,9739,12160,-121,1974,501
2017/07/11/15:59:15.867245,164559,1499759955,867067098,0,4147,2815,9793,12140,-178,1961,461
2017/07/11/15:59:15.888741,164560,1499759955,888500928,0,4207,2644,9845,12116,-244,2007,457
2017/07/11/15:59:15.910986,164561,1499759955,910789966,0,4274,2471,9891,12092,-287,2001,469
2017/07/11/15:59:15.926546,164562,1499759955,926084995,0,4339,2297,9928,12072,-314,1982,465
2017/07/11/15:59:15.948663,164563,1499759955,948278903,0,4406,2126,9956,12056,-352,1905,506
2017/07/11/15:59:15.970946,164564,1499759955,970689058,0,4482,1953,9993,12027,-436,1882,467
2017/07/11/15:59:15.986301,164565,1499759955,985797882,0,4562,1784,10033,11990,-467,1913,482
2017/07/11/15:59:16.008451,164566,1499759956,8323907,0,4633,1623,10065,11959,-450,1898,468
2017/07/11/15:59:16.031257,164567,1499759956,30910015,0,4708,1460,10078,11939,-508,1901,508
2017/07/11/15:59:16.050592,164568,1499759956,45855998,0,4785,1298,10080,11925,-548,1855,496
2017/07/11/15:59:16.068301,164569,1499759956,68101882,0,4873,1135,10084,11903,-645,1818,428
2017/07/11/15:59:16.091602,164570,1499759956,91037034,0,4966,979,10077,11884,-643,1829,463
2017/07/11/15:59:16.106326,164571,1499759956,106045961,0,5051,835,10047,11885,-568,1791,510
2017/07/11/15:59:16.128683,164572,1499759956,128369092,0,5135,688,10009,11891,-633,1744,492
2017/07/11/15:59:16.151343,164573,1499759956,151068925,0,5222,542,9991,11875,-756,1722,444
2017/07/11/15:59:16.166221,164574,1499759956,165798902,0,5324,414,9961,11860,-821,1810,507
