time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.quat0,.quat1,.quat2,.quat3,.acc0,.acc1,.acc2
2017/07/11/16:04:08.516405,179166,1499760248,516230106,0,1202,2107,10281,12523,157,1945,332
2017/07/11/16:04:08.538954,179167,1499760248,538775920,0,1212,2107,10298,12508,190,1980,343
2017/07/11/16:04:08.561338,179168,1499760248,561109066,0,1218,2104,10303,12504,227,1936,410
2017/07/11/16:04:08.576244,179169,1499760248,576060056,0,1214,2097,10308,12502,185,1884,400
2017/07/11/16:04:08.599392,179170,1499760248,599176883,0,1209,2093,10320,12493,167,1946,362
2017/07/11/16:04:08.621930,179171,1499760248,621592998,0,1212,2098,10337,12478,190,1970,341
2017/07/11/16:04:08.636659,179172,1499760248,636239051,0,1214,2105,10350,12466,185,1959,319
2017/07/11/16:04:08.659347,179173,1499760248,659113883,0,1214,2109,10349,12465,191,1960,350
2017/07/11/16:04:08.681355,179174,1499760248,681157112,0,1204,2117,10344,12469,246,1913,348
2017/07/11/16:04:08.696125,179175,1499760248,695976972,0,1203,2120,10348,12465,181,1956,332
2017/07/11/16:04:08.719431,179176,1499760248,719166994,0,1203,2129,10350,12462,212,1942,321
2017/07/11/16:04:08.741474,179177,1499760248,741288900,0,1200,2126,10343,12468,195,1901,375
2017/07/11/16:04:08.756838,179178,1499760248,756643056,0,1197,2126,10338,12473,167,1901,332
2017/07/11/16:04:08.778887,179179,1499760248,778712034,0,1193,2127,10330,12480,234,1979,340
2017/07/11/16:04:08.801373,179180,1499760248,801193952,0,1190,2124,10316,12492,211,1956,358
2017/07/11/16:04:08.816806,179181,1499760248,816598892,0,1182,2123,10300,12506,210,1861,409
2017/07/11/16:04:08.838795,179182,1499760248,838665008,0,1180,2123,10302,12505,172,1891,338
2017/07/11/16:04:08.861958,179183,1499760248,861576080,0,1173,2123,10306,12502,246,1991,344
2017/07/11/16:04:08.876561,179184,1499760248,876358985,0,1162,2119,10298,12510,212,1985,333
2017/07/11/16:04:08.898668,179185,1499760248,898518085,0,1148,2121,10278,12528,200,1906,391
2017/07/11/16:04:08.922179,179186,1499760248,921857118,0,1141,2136,10260,12541,295,1947,384
2017/07/11/16:04:08.936651,179187,1499760248,936273097,0,1135,2122,10271,12535,188,1896,331
2017/07/11/16:04:08.959255,179188,1499760248,958946943,0,1126,2110,10259,12547,120,2071,384
2017/07/11/16:04:08.981902,179189,1499760248,981610059,0,1103,2129,10237,12565,320,1952,390
2017/07/11/16:04:09.003852,179190,1499760249,3674983,0,1088,2143,10250,12552,207,1865,261
2017/07/11/16:04:09.019124,179191,1499760249,18878936,0,1085,2158,10272,12533,178,2124,325
2017/07/11/16:04:09.041597,179192,1499760249,41389942,0,1089,2180,10258,12540,269,2101,425
2017/07/11/16:04:09.058276,179193,1499760249,57836055,0,1072,2203,10228,12561,305,1739,415
2017/07/11/16:04:09.078602,179194,1499760249,78511953,0,1047,2220,10226,12562,311,1586,437
2017/07/11/16:04:09.101533,179195,1499760249,101221084,0,1027,2222,10269,12528,283,1814,399
2017/07/11/16:04:09.124207,179196,1499760249,123830080,0,1023,2217,10307,12498,310,2037,362
2017/07/11/16:04:09.138998,179197,1499760249,138873100,0,1021,2201,10305,12503,401,1966,378
2017/07/11/16:04:09.161945,179198,1499760249,161479949,0,1006,2170,10298,12515,348,1739,442
2017/07/11/16:04:09.184186,179199,1499760249,183854103,0,989,2115,10349,12484,255,1776,331
2017/07/11/16:04:09.199421,179200,1499760249,199037075,0,990,2047,10429,12429,74,2173,304
2017/07/11/16:04:09.221445,179201,1499760249,221280097,0,997,1990,10464,12408,245,2246,356
2017/07/11/16:04:09.243985,179202,1499760249,243810892,0,988,1927,10452,12429,273,1897,398
2017/07/11/16:04:09.259326,179203,1499760249,259166002,0,980,1849,10468,12428,181,1772,382
2017/07/11/16:04:09.281692,179204,1499760249,281471967,0,988,1759,10522,12395,120,2098,274
2017/07/11/16:04:09.304331,179205,1499760249,303946018,0,1002,1672,10546,12385,134,2224,247
2017/07/11/16:04:09.318786,179206,1499760249,318602085,0,1003,1574,10529,12412,236,2105,344
