time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2017/07/11/16:16:52.528379,3121299,1499761016,473943962,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.37850975941072584, 1.309636097657172, -0.85289331806429, -0.9522185740798705, -0.235466050940411, 1.1485681149292035, 1.6766410011587571, 0.04716990922747647, 1.8549662677504366, -0.947233136519243, -1.4173982480061222, 0.0732475826215285, 1.215296279202219, -0.16758740107648146, -12.565987119160338)","(0.0, -0.0011780972448751821, -0.01021017612225158, 0.3809181091763089, -0.10681415020201653, 0.08246680714126275, -0.2831360378516688, -0.478307481419324, 0.37227872938055756, -0.014922565101752308, 0.001570796326500243, -0.0070685834692510935, -0.013744467856877126, -0.015707963265002428, 0.0070685834692510935, 0.005497787142750851, 0.0)","(0.0, 0.0, 4.112, -14.368, 0.248, -23.18, 0.276, 0.26, -0.324, 1.06, -14.22, -0.028, -22.944, 0.36, 0.6, 0.036, -20.48)"
2017/07/11/16:16:52.538067,3121300,1499761016,483939178,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05560680356084625, 0.3781262642137545, 1.3142380400208282, -0.8536603084582327, -0.9506845932919852, -0.23700003172829642, 1.1428156869746333, 1.6816264387193849, 0.04678641403050512, 1.8553497629474078, -0.947233136519243, -1.4166312576121796, 0.07209709703061444, 1.2149127840052476, -0.1679708962734528, -12.565987119160338)","(0.0, 0.0047123889795007284, -0.01610066234662749, 0.4091924430533133, -0.08796459428401361, 0.0911061869370141, -0.30080749652479655, -0.49990593090870233, 0.40251655866568725, -0.004319689897875668, -0.0035342917346255468, -0.019634954081253035, 0.0047123889795007284, 0.012173671530376884, 0.010995574285501701, 0.0200276531628781, 0.0)","(0.0, 0.0, 4.176, -14.584, 0.372, -23.18, 0.284, 0.164, -0.324, 1.028, -14.188, 0.06, -23.004, 0.376, 0.56, 0.044, -20.48)"
2017/07/11/16:16:52.548068,3121301,1499761016,493937837,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05560680356084625, 0.3781262642137545, 1.3176894967935704, -0.8548107940491468, -0.9495341077010712, -0.24083498369800996, 1.1366797638230917, 1.6858448858860697, 0.046402918833533764, 1.8549662677504366, -0.947233136519243, -1.4166312576121796, 0.07209709703061444, 1.2156797743991905, -0.1687378866673955, -12.565987119160338)","(0.0, -0.011780972448751823, 0.00510508806112579, 0.4131194338695639, -0.11388273367126761, 0.12330751163026907, -0.3086614781572977, -0.575696853662339, 0.4060508504003128, 0.0035342917346255468, -0.008246680714126275, -0.007853981632501214, -0.003926990816250607, -0.012173671530376884, 0.01610066234662749, -0.02081305132612822, 0.0)","(0.0, 0.0, 4.24, -14.616, 0.308, -22.92, 0.296, 0.116, -0.296, 1.0, -14.188, 0.0, -23.004, 0.368, 0.54, 0.064, -20.48)"
2017/07/11/16:16:52.558538,3121302,1499761016,503938239,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.056373793954788955, 0.3781262642137545, 1.3222914391572267, -0.8559612796400609, -0.9495341077010712, -0.24428644047075213, 1.1313108310654927, 1.6900633330527546, 0.047553404424447825, 1.8561167533413507, -0.9476166317162144, -1.4166312576121796, 0.07171360183364309, 1.2156797743991905, -0.1687378866673955, -12.565987119160338)","(0.0, 0.0011780972448751821, -0.014137166938502187, 0.41429753111443907, -0.09228428418188928, 0.10327985846739098, -0.33575771478942695, -0.6098616737637194, 0.4421791659098184, -0.008246680714126275, -0.0007853981632501215, 0.001570796326500243, 0.0035342917346255468, -0.0019634954081253035, 0.02513274122400389, -0.00510508806112579, 0.0)","(0.0, 0.0, 4.144, -14.492, 0.28, -22.82, 0.296, 0.084, -0.288, 1.06, -14.22, 0.028, -22.944, 0.388, 0.52, 0.044, -20.48)"
2017/07/11/16:16:52.566113,945072,1499761016,513999872,,['r_gripper_l_finger_joint'],"(0.020014470744132998,)","(0.0,)","(0.0,)"
2017/07/11/16:16:52.568226,3121303,1499761016,513944583,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3762087882288977, 1.32612639112694, -0.8571117652309749, -0.9480001269131857, -0.2469709068495516, 1.1247914127169796, 1.6938982850224682, 0.04678641403050512, 1.8557332581443793, -0.9476166317162144, -1.4162477624152083, 0.07209709703061444, 1.2160632695961617, -0.16835439147042416, -12.565987119160338)","(0.0, 0.004319689897875668, -0.009424777959001457, 0.4402156705016931, -0.13469578499739585, 0.1079922474468917, -0.336150413871052, -0.6353871140693482, 0.4739877915214483, 0.003926990816250607, 0.01767145867312773, 0.001570796326500243, -0.011780972448751823, 0.01531526418337737, 0.007461282550876154, -0.0070685834692510935, 0.0)","(0.0, 0.0, 4.144, -14.272, 0.28, -22.82, 0.304, 0.104, -0.268, 1.06, -14.28, 0.06, -22.944, 0.376, 0.504, 0.044, -20.48)"
2017/07/11/16:16:52.571191,945073,1499761016,518000128,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)"
2017/07/11/16:16:52.578332,3121304,1499761016,523947394,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05560680356084625, 0.3781262642137545, 1.3295778478996825, -0.8597962316097744, -0.9456991557313575, -0.2504223636222938, 1.117505003974524, 1.6992672177800672, 0.04678641403050512, 1.8561167533413507, -0.9480001269131857, -1.417014752809151, 0.07171360183364309, 1.2156797743991905, -0.1679708962734528, -12.565987119160338)","(0.0, 0.007853981632501214, -0.024347343060753767, 0.4362886796854425, -0.09896016856951531, 0.12173671530376882, -0.329474529483426, -0.6825110038643556, 0.4920519492762011, -0.006283185306000972, 0.02042035224450316, 0.0023561944897503642, -0.001570796326500243, 0.007461282550876154, -0.03259402377488004, -0.0027488935713754254, 0.0)","(0.0, 0.0, 4.016, -14.056, 0.308, -22.82, 0.276, 0.124, -0.24, 1.028, -14.34, 0.028, -22.972, 0.404, 0.552, 0.056, -20.48)"
2017/07/11/16:16:52.588094,3121305,1499761016,533938235,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3777427690167831, 1.33456328546031, -0.8605632220037172, -0.9445486701404435, -0.25349032519806464, 1.1102185952320682, 1.7038691601437232, 0.04678641403050512, 1.856500248538322, -0.9468496413222717, -1.4166312576121796, 0.07286408742455715, 1.2168302599901044, -0.1679708962734528, -12.565987119160338)","(0.0, 0.008246680714126275, -0.01060287520387664, 0.44139376774656824, -0.13940817397689656, 0.12252211346701895, -0.34047010376892767, -0.737096176210239, 0.5069745143779534, -0.02120575040775328, 0.022776546734253524, -0.010995574285501701, -0.001570796326500243, -0.01610066234662749, -0.011388273367126762, 0.004319689897875668, 0.0)","(0.0, 0.0, 3.984, -14.088, 0.372, -22.528, 0.232, 0.124, -0.24, 1.0, -14.368, 0.0, -22.912, 0.396, 0.54, 0.044, -20.48)"
2017/07/11/16:16:52.598258,3121306,1499761016,543942510,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05560680356084625, 0.37582529303192636, 1.3387817326269948, -0.8620972027916025, -0.9437816797465008, -0.25655828677383546, 1.1017817008986983, 1.7092380929013222, 0.047553404424447825, 1.8557332581443793, -0.9476166317162144, -1.4166312576121796, 0.07209709703061444, 1.2160632695961617, -0.16912138186436687, -12.565987119160338)","(0.0, -0.006675884387626033, -0.0329867228565051, 0.4610287218278213, -0.13823007673202137, 0.12173671530376882, -0.3204424506060496, -0.7850054641684964, 0.5230751767245809, -0.0027488935713754254, -0.01060287520387664, 0.001570796326500243, -0.0007853981632501215, -0.0027488935713754254, 0.0070685834692510935, 0.010995574285501701, 0.0)","(0.0, 0.0, 4.144, -14.24, 0.404, -22.432, 0.2, 0.084, -0.232, 1.092, -14.368, -0.06, -22.944, 0.368, 0.54, 0.044, -20.48)"
