time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ch0,.ch1,.ch2,.ch3,.ch4,.ch5,.ch6,.ch7
2017/07/11/16:14:41.322838,211975,1499760881,322629928,0,117,46,48,33,52,25,45,38
2017/07/11/16:14:41.337443,211976,1499760881,337268114,0,114,49,49,33,57,51,57,44
2017/07/11/16:14:41.360341,211977,1499760881,360085010,0,116,55,59,39,59,51,59,51
2017/07/11/16:14:41.383066,211978,1499760881,382780075,0,124,56,57,40,59,53,64,55
2017/07/11/16:14:41.399998,211979,1499760881,399514913,0,146,59,55,40,58,55,67,57
2017/07/11/16:14:41.422436,211980,1499760881,422022104,0,269,79,52,38,43,69,62,59
2017/07/11/16:14:41.442833,211981,1499760881,442612886,0,322,102,72,42,39,56,55,81
2017/07/11/16:14:41.460435,211982,1499760881,460166931,0,341,107,71,41,38,65,60,79
2017/07/11/16:14:41.479989,211983,1499760881,479837894,0,342,105,71,40,36,66,69,80
2017/07/11/16:14:41.511996,211984,1499760881,511017084,0,335,103,69,43,38,75,69,84
2017/07/11/16:14:41.519142,211985,1499760881,519004106,0,243,94,67,42,32,65,68,100
2017/07/11/16:14:41.540224,211986,1499760881,539834022,0,279,77,45,38,30,74,68,92
2017/07/11/16:14:41.570675,211987,1499760881,570560932,0,266,71,39,33,29,69,87,96
2017/07/11/16:14:41.585212,211988,1499760881,585097074,0,274,96,44,35,31,66,85,104
2017/07/11/16:14:41.600273,211989,1499760881,600116968,0,277,99,50,33,29,57,88,105
2017/07/11/16:14:41.622797,211990,1499760881,622560977,0,297,98,54,34,29,70,97,93
2017/07/11/16:14:41.653712,211991,1499760881,653485059,0,280,97,53,32,30,68,99,92
2017/07/11/16:14:41.662661,211992,1499760881,662410020,0,355,118,53,32,27,68,84,98
2017/07/11/16:14:41.682719,211993,1499760881,682478904,0,357,112,52,31,28,69,80,95
2017/07/11/16:14:41.705387,211994,1499760881,705117940,0,363,121,49,29,28,70,89,98
2017/07/11/16:14:41.720579,211995,1499760881,720232963,0,361,120,48,27,24,55,79,97
2017/07/11/16:14:41.742466,211996,1499760881,742296934,0,326,115,48,28,22,62,81,86
2017/07/11/16:14:41.765181,211997,1499760881,764889001,0,278,93,47,31,25,63,82,77
2017/07/11/16:14:41.780406,211998,1499760881,780162096,0,293,81,43,28,22,65,84,75
2017/07/11/16:14:41.802860,211999,1499760881,802623987,0,302,67,43,30,23,67,69,72
2017/07/11/16:14:41.825475,212000,1499760881,825120925,0,338,83,43,28,23,73,67,90
2017/07/11/16:14:41.840374,212001,1499760881,840140104,0,373,86,46,30,25,60,78,94
2017/07/11/16:14:41.862816,212002,1499760881,862618923,0,381,91,49,29,25,71,96,99
2017/07/11/16:14:41.884960,212003,1499760881,884777069,0,452,100,48,29,27,79,101,103
2017/07/11/16:14:41.900097,212004,1499760881,899944067,0,444,101,49,30,29,78,102,102
2017/07/11/16:14:41.923470,212005,1499760881,923125028,0,407,94,48,30,28,74,103,96
2017/07/11/16:14:41.945833,212006,1499760881,945250034,0,506,126,59,30,35,106,108,118
2017/07/11/16:14:41.960439,212007,1499760881,960216999,0,491,128,59,29,35,107,96,120
2017/07/11/16:14:41.982766,212008,1499760881,982513904,0,492,139,62,33,38,106,94,139
2017/07/11/16:14:42.013365,212009,1499760882,13237953,0,498,143,65,33,40,106,97,183
2017/07/11/16:14:42.020337,212010,1499760882,20137071,0,542,157,73,37,46,121,117,189
2017/07/11/16:14:42.043246,212011,1499760882,42399883,0,460,145,68,37,42,93,106,187
2017/07/11/16:14:42.065615,212012,1499760882,65315961,0,532,151,70,42,44,115,109,197
2017/07/11/16:14:42.088157,212013,1499760882,87702989,0,510,144,69,44,43,114,108,186
2017/07/11/16:14:42.103064,212014,1499760882,102715015,0,539,144,68,46,45,129,114,161
2017/07/11/16:14:42.125124,212015,1499760882,124990940,0,640,153,63,45,41,153,100,170
2017/07/11/16:14:42.140210,212016,1499760882,140028953,0,658,153,64,46,44,184,149,162
2017/07/11/16:14:42.165824,212017,1499760882,165653944,0,650,148,61,43,46,194,148,174
