time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ch0,.ch1,.ch2,.ch3,.ch4,.ch5,.ch6,.ch7
2017/07/11/16:09:10.827829,195482,1499760550,827116966,0,78,179,101,138,590,70,39,92
2017/07/11/16:09:10.849091,195483,1499760550,848953962,0,74,186,95,140,584,69,37,87
2017/07/11/16:09:10.865926,195484,1499760550,865725994,0,77,186,95,117,433,56,34,78
2017/07/11/16:09:10.887601,195485,1499760550,887255907,0,59,187,92,91,377,54,27,69
2017/07/11/16:09:10.909226,195486,1499760550,909024953,0,67,168,90,73,349,54,25,59
2017/07/11/16:09:10.926379,195487,1499760550,925950050,0,64,147,60,60,326,54,31,60
2017/07/11/16:09:10.949059,195488,1499760550,948549985,0,64,143,64,48,304,49,32,64
2017/07/11/16:09:10.969505,195489,1499760550,969345092,0,57,160,58,46,260,40,33,65
2017/07/11/16:09:10.985693,195490,1499760550,985620975,0,56,158,57,46,243,40,34,66
2017/07/11/16:09:11.008710,195491,1499760551,8467912,0,52,175,64,47,219,38,37,66
2017/07/11/16:09:11.030095,195492,1499760551,29623985,0,105,161,74,46,199,36,33,64
2017/07/11/16:09:11.045726,195493,1499760551,45506954,0,108,151,72,42,154,34,31,55
2017/07/11/16:09:11.069330,195494,1499760551,68919897,0,112,135,74,43,145,35,35,65
2017/07/11/16:09:11.097062,195495,1499760551,96824884,0,114,160,76,42,142,33,37,68
2017/07/11/16:09:11.106610,195496,1499760551,106267929,0,114,143,71,41,70,30,33,67
2017/07/11/16:09:11.129095,195497,1499760551,128936052,0,103,151,62,40,61,28,34,66
2017/07/11/16:09:11.156879,195498,1499760551,156769037,0,106,176,60,43,57,26,37,67
2017/07/11/16:09:11.172429,195499,1499760551,172034025,0,125,171,55,39,40,23,35,67
2017/07/11/16:09:11.194134,195500,1499760551,194031000,0,124,153,55,38,32,25,38,61
2017/07/11/16:09:11.209554,195501,1499760551,209347963,0,136,165,57,37,32,25,43,61
2017/07/11/16:09:11.231843,195502,1499760551,231612920,0,201,164,66,36,34,25,47,63
2017/07/11/16:09:11.249198,195503,1499760551,248718976,0,227,153,66,32,33,24,45,66
2017/07/11/16:09:11.269362,195504,1499760551,269229888,0,219,157,69,31,27,24,47,58
2017/07/11/16:09:11.292748,195505,1499760551,292102098,0,221,200,81,30,27,20,43,63
2017/07/11/16:09:11.308010,195506,1499760551,307939052,0,240,239,134,38,33,32,41,75
2017/07/11/16:09:11.329422,195507,1499760551,329241037,0,246,231,133,37,36,100,48,78
2017/07/11/16:09:11.352325,195508,1499760551,351941108,0,229,224,133,39,36,104,48,84
2017/07/11/16:09:11.368605,195509,1499760551,368483066,0,232,223,133,38,40,106,48,89
2017/07/11/16:09:11.389936,195510,1499760551,389516115,0,257,185,130,41,41,109,50,93
2017/07/11/16:09:11.412252,195511,1499760551,412066936,0,309,114,72,37,37,112,56,91
