time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2017/07/11/15:24:09.727066,2805019,1499757853,673616016,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05560680356084625, 0.37735927381981177, 1.2632331788236382, -0.8371700149884646, -0.9694758579435815, -0.2044029399857314, 1.1899855962021098, 1.6609176980829317, 0.04716990922747647, 1.8557332581443793, -0.947233136519243, -1.417014752809151, 0.07209709703061444, 1.2149127840052476, -0.16835439147042416, -12.565987119160338)","(0.0, -0.009817477040626518, -0.008639379795751335, -0.009424777959001457, -0.01060287520387664, 0.0047123889795007284, 0.01688606050987761, 0.005890486224375911, 0.013744467856877126, 0.0023561944897503642, 0.006283185306000972, 0.0007853981632501215, -0.006283185306000972, -0.006283185306000972, 0.0047123889795007284, -0.005497787142750851, 0.0)","(0.0, 0.0, 3.732, -14.148, 1.308, -23.18, 0.156, 0.056, -0.28, 1.28, -14.308, 0.028, -23.032, 0.376, 0.552, 0.056, -20.48)"
2017/07/11/15:24:09.736302,2805020,1499757853,683608106,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.37697577862284043, 1.262849683626667, -0.8371700149884646, -0.9690923627466101, -0.2044029399857314, 1.189218605808167, 1.6605342028859604, 0.04716990922747647, 1.8553497629474078, -0.9480001269131857, -1.4166312576121796, 0.0724805922275858, 1.2156797743991905, -0.16605342028859604, -12.565987119160338)","(0.0, -0.003926990816250607, 0.003926990816250607, -0.0047123889795007284, 0.009032078877376396, 0.01021017612225158, 0.0047123889795007284, -0.012566370612001944, 0.014137166938502187, 0.006283185306000972, 0.008246680714126275, 0.02042035224450316, 0.0019634954081253035, 0.0035342917346255468, 0.0, -0.00510508806112579, 0.0)","(0.0, 0.0, 3.7, -14.116, 1.308, -23.08, 0.164, 0.064, -0.296, 1.184, -14.308, 0.06, -22.972, 0.36, 0.552, 0.064, -20.48)"
2017/07/11/15:24:09.746153,2805021,1499757853,693649704,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3762087882288977, 1.2636166740206096, -0.8371700149884646, -0.9694758579435815, -0.2044029399857314, 1.1899855962021098, 1.6605342028859604, 0.046402918833533764, 1.8561167533413507, -0.9476166317162144, -1.4162477624152083, 0.0724805922275858, 1.2149127840052476, -0.16758740107648146, -12.565987119160338)","(0.0, 0.0007853981632501215, -0.01727875959150267, -0.010995574285501701, 0.005497787142750851, -0.012173671530376884, -0.014137166938502187, 0.007853981632501214, -0.014529866020127248, -0.001570796326500243, 0.001570796326500243, -0.001570796326500243, 0.01531526418337737, -0.0007853981632501215, 0.006283185306000972, 0.0027488935713754254, 0.0)","(0.0, 0.0, 3.796, -14.148, 1.432, -23.112, 0.188, 0.064, -0.28, 1.124, -14.308, 0.092, -23.064, 0.368, 0.532, 0.072, -20.48)"
2017/07/11/15:24:09.756077,2805022,1499757853,703642172,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3777427690167831, 1.262849683626667, -0.8364030245945219, -0.9694758579435815, -0.20363594959178868, 1.1899855962021098, 1.661301193279903, 0.04716990922747647, 1.856500248538322, -0.9476166317162144, -1.4173982480061222, 0.0732475826215285, 1.2160632695961617, -0.16682041068253875, -12.565987119160338)","(0.0, 0.009032078877376396, 0.0047123889795007284, -0.005890486224375911, 0.003926990816250607, -0.011780972448751823, -0.008246680714126275, -0.0019634954081253035, 0.010995574285501701, -0.003926990816250607, 0.018456856836377853, -0.005497787142750851, -0.00039269908162506076, 0.01531526418337737, -0.010995574285501701, 0.007461282550876154, 0.0)","(0.0, 0.0, 3.796, -14.088, 1.212, -23.18, 0.2, 0.048, -0.288, 1.248, -14.368, 0.06, -23.004, 0.388, 0.532, 0.056, -20.48)"
2017/07/11/15:24:09.765112,640281,1499757853,713999872,,['r_gripper_l_finger_joint'],"(0.020014470744132998,)","(0.0,)","(0.0,)"
2017/07/11/15:24:09.765992,2805023,1499757853,713632442,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05560680356084625, 0.37697577862284043, 1.2636166740206096, -0.8367865197914932, -0.9694758579435815, -0.20478643518270273, 1.1896021010051383, 1.6609176980829317, 0.04793689962141918, 1.8553497629474078, -0.9480001269131857, -1.4166312576121796, 0.07209709703061444, 1.2160632695961617, -0.1672039058795101, -12.565987119160338)","(0.0, -0.007461282550876154, 0.0027488935713754254, 0.010995574285501701, 0.0011780972448751821, 0.012173671530376884, -0.018456856836377853, 0.01767145867312773, 0.003141592653000486, -0.009032078877376396, -0.0007853981632501215, 0.008246680714126275, -0.0035342917346255468, -0.006675884387626033, 0.014137166938502187, 0.013351768775252066, 0.0)","(0.0, 0.0, 3.856, -14.116, 1.184, -23.112, 0.216, 0.028, -0.288, 1.184, -14.34, 0.152, -23.004, 0.368, 0.552, 0.072, -20.48)"
2017/07/11/15:24:09.773223,640282,1499757853,721999872,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)"
2017/07/11/15:24:09.776254,2805024,1499757853,723593252,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.37697577862284043, 1.2636166740206096, -0.8371700149884646, -0.9687088675496388, -0.20555342557664544, 1.190369091399081, 1.6605342028859604, 0.046402918833533764, 1.8568837437352934, -0.947233136519243, -1.417014752809151, 0.0724805922275858, 1.2168302599901044, -0.16643691548556738, -12.565987119160338)","(0.0, -0.006675884387626033, -0.001570796326500243, 0.00039269908162506076, 0.01060287520387664, 0.0035342917346255468, -0.02552544030562895, -0.0011780972448751821, 0.007461282550876154, 0.022383847652628464, -0.014137166938502187, -0.0035342917346255468, 0.005890486224375911, -0.018849555918002914, -0.00510508806112579, 0.01531526418337737, 0.0)","(0.0, 0.0, 3.888, -14.116, 1.368, -23.048, 0.26, 0.036, -0.288, 1.124, -14.368, 0.028, -23.064, 0.388, 0.52, 0.064, -20.48)"
2017/07/11/15:24:09.786381,2805025,1499757853,733641630,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.37735927381981177, 1.2636166740206096, -0.8371700149884646, -0.9694758579435815, -0.20478643518270273, 1.1899855962021098, 1.6609176980829317, 0.04716990922747647, 1.856500248538322, -0.947233136519243, -1.4166312576121796, 0.07209709703061444, 1.215296279202219, -0.16758740107648146, -12.565987119160338)","(0.0, -0.0019634954081253035, -0.00510508806112579, -0.0070685834692510935, -0.008639379795751335, -0.004319689897875668, -0.03730641275438077, 0.003141592653000486, -0.009424777959001457, 0.0011780972448751821, 0.018849555918002914, 0.0011780972448751821, -0.023954643979128706, -0.0019634954081253035, -0.0070685834692510935, -0.01531526418337737, 0.0)","(0.0, 0.0, 3.796, -14.056, 1.276, -23.048, 0.296, 0.008, -0.288, 1.248, -14.368, 0.152, -23.064, 0.36, 0.512, 0.064, -20.48)"
2017/07/11/15:24:09.796120,2805026,1499757853,743639602,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05560680356084625, 0.3762087882288977, 1.2636166740206096, -0.8375535101854359, -0.9690923627466101, -0.2051699303796741, 1.1896021010051383, 1.661301193279903, 0.04793689962141918, 1.8561167533413507, -0.947233136519243, -1.4166312576121796, 0.07209709703061444, 1.2156797743991905, -0.1672039058795101, -12.565987119160338)","(0.0, -0.0007853981632501215, 0.0035342917346255468, 0.0047123889795007284, -0.01649336142825255, 0.009032078877376396, -0.030237829285129678, 0.001570796326500243, -0.003926990816250607, -0.012959069693627005, 0.003141592653000486, -0.008246680714126275, 0.00510508806112579, 0.003926990816250607, 0.009032078877376396, -0.009817477040626518, 0.0)","(0.0, 0.0, 3.92, -14.116, 1.34, -23.08, 0.328, 0.0, -0.288, 1.092, -14.368, 0.124, -22.972, 0.376, 0.512, 0.064, -20.48)"
