time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2017/07/11/16:09:47.297171,3078776,1499760591,243182782,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3788932546076972, 1.2616991980357528, -0.839854481367264, -0.9679418771556961, -0.20325245439481732, 1.1899855962021098, 1.6597672124920178, 0.04678641403050512, 1.8557332581443793, -0.9476166317162144, -1.417014752809151, 0.0724805922275858, 1.2164467647931332, -0.1679708962734528, -12.565987119160338)","(0.0, 0.0047123889795007284, -0.012566370612001944, 0.02631083846887907, 0.0047123889795007284, 0.0420188017338815, 0.0023561944897503642, 0.01688606050987761, -0.018064157754752792, -0.024740042142378828, 0.009032078877376396, -0.01531526418337737, 0.007853981632501214, 0.010995574285501701, 0.013744467856877126, -0.005890486224375911, 0.0)","(0.0, 0.0, 3.764, -14.988, 0.84, -24.02, 0.224, -0.056, -0.288, 1.184, -14.308, -0.028, -23.032, 0.376, 0.552, 0.064, -20.48)"
2017/07/11/16:09:47.308112,3078777,1499760591,253222157,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3792767498046685, 1.2620826932327243, -0.839854481367264, -0.9679418771556961, -0.20286895919784598, 1.1896021010051383, 1.6597672124920178, 0.04716990922747647, 1.8557332581443793, -0.947233136519243, -1.4177817432030937, 0.07209709703061444, 1.2160632695961617, -0.16912138186436687, -12.565987119160338)","(0.0, 0.0070685834692510935, -0.019242254999627974, 0.036128315509505585, 0.02081305132612822, 0.027488935713754253, 0.0027488935713754254, -0.01531526418337737, -0.01060287520387664, 0.0007853981632501215, -0.012566370612001944, -0.00510508806112579, -0.018849555918002914, -0.01021017612225158, 0.0, 0.007461282550876154, 0.0)","(0.0, 0.0, 3.796, -15.112, 0.9, -24.052, 0.24, -0.036, -0.268, 1.06, -14.34, 0.028, -23.004, 0.376, 0.54, 0.084, -20.48)"
2017/07/11/16:09:47.317265,3078778,1499760591,263208576,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3788932546076972, 1.2624661884296955, -0.8402379765642354, -0.966791391564782, -0.20325245439481732, 1.1899855962021098, 1.6597672124920178, 0.04678641403050512, 1.8553497629474078, -0.9468496413222717, -1.4173982480061222, 0.07286408742455715, 1.2164467647931332, -0.1679708962734528, -12.565987119160338)","(0.0, -0.0019634954081253035, -0.01649336142825255, 0.02081305132612822, 0.014529866020127248, 0.0310232274483798, -0.005497787142750851, -0.005890486224375911, 0.005890486224375911, 0.0019634954081253035, 0.008246680714126275, 0.003926990816250607, 0.003926990816250607, -0.003141592653000486, -0.003926990816250607, -0.007461282550876154, 0.0)","(0.0, 0.0, 3.856, -15.112, 0.84, -24.152, 0.24, -0.016, -0.268, 0.968, -14.34, -0.06, -23.032, 0.404, 0.572, 0.072, -20.48)"
2017/07/11/16:09:47.324004,885515,1499760591,272000000,,['r_gripper_l_finger_joint'],"(0.020014470744132998,)","(0.0,)","(0.0,)"
2017/07/11/16:09:47.327424,3078779,1499760591,273209103,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3788932546076972, 1.2620826932327243, -0.8406214717612067, -0.9671748867617533, -0.20286895919784598, 1.1899855962021098, 1.6597672124920178, 0.047553404424447825, 1.8553497629474078, -0.9480001269131857, -1.417014752809151, 0.07209709703061444, 1.2160632695961617, -0.1679708962734528, -12.565987119160338)","(0.0, -0.007853981632501214, -0.014529866020127248, 0.018456856836377853, 0.0035342917346255468, 0.04987278336638271, -0.023954643979128706, -0.007853981632501214, -0.00510508806112579, 0.011388273367126762, 0.0019634954081253035, 0.014922565101752308, 0.012173671530376884, -0.005497787142750851, 0.012173671530376884, 0.0047123889795007284, 0.0)","(0.0, 0.0, 3.92, -15.052, 0.9, -24.184, 0.252, -0.008, -0.296, 1.06, -14.34, 0.0, -23.004, 0.376, 0.552, 0.072, -20.48)"
2017/07/11/16:09:47.328964,885516,1499760591,276999936,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)"
2017/07/11/16:09:47.337326,3078780,1499760591,283219618,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3781262642137545, 1.2620826932327243, -0.8402379765642354, -0.9664078963678107, -0.20286895919784598, 1.1899855962021098, 1.660150707688989, 0.04678641403050512, 1.8549662677504366, -0.9468496413222717, -1.4162477624152083, 0.07209709703061444, 1.215296279202219, -0.1679708962734528, -12.565987119160338)","(0.0, -0.004319689897875668, -0.03063052836675474, 0.0200276531628781, -0.006675884387626033, 0.04476769530525693, -0.02081305132612822, 0.004319689897875668, 0.01688606050987761, -0.0070685834692510935, 0.003926990816250607, 0.0047123889795007284, -0.008639379795751335, -0.0007853981632501215, 0.009032078877376396, -0.0047123889795007284, 0.0)","(0.0, 0.0, 3.952, -14.928, 0.808, -24.216, 0.304, 0.016, -0.288, 1.028, -14.368, -0.028, -23.032, 0.368, 0.532, 0.072, -20.48)"
2017/07/11/16:09:47.347461,3078781,1499760591,293212885,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05560680356084625, 0.3777427690167831, 1.2624661884296955, -0.8402379765642354, -0.9660244011708393, -0.20325245439481732, 1.1896021010051383, 1.6609176980829317, 0.046402918833533764, 1.8549662677504366, -0.9476166317162144, -1.4162477624152083, 0.0724805922275858, 1.2160632695961617, -0.16835439147042416, -12.565987119160338)","(0.0, 0.006283185306000972, -0.03848450999925595, 0.029452431121879556, -0.012173671530376884, 0.04123340357063138, -0.005497787142750851, -0.022383847652628464, 0.018064157754752792, -0.003141592653000486, -0.014922565101752308, 0.0019634954081253035, 0.009817477040626518, -0.00039269908162506076, -0.009424777959001457, 0.004319689897875668, 0.0)","(0.0, 0.0, 4.144, -14.864, 0.9, -24.376, 0.296, 0.056, -0.296, 1.092, -14.368, 0.124, -23.064, 0.396, 0.532, 0.072, -20.48)"
2017/07/11/16:09:47.356978,3078782,1499760591,303206182,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05560680356084625, 0.37735927381981177, 1.2624661884296955, -0.8402379765642354, -0.9660244011708393, -0.20478643518270273, 1.189218605808167, 1.6605342028859604, 0.04716990922747647, 1.8553497629474078, -0.9468496413222717, -1.4162477624152083, 0.07171360183364309, 1.2160632695961617, -0.16758740107648146, -12.565987119160338)","(0.0, 0.005890486224375911, -0.0659734457130102, 0.013744467856877126, -0.008639379795751335, 0.034950218264630406, -0.02120575040775328, -0.045945792550132106, 0.023169245815878585, -0.00039269908162506076, -0.009817477040626518, -0.015707963265002428, -0.024740042142378828, -0.008639379795751335, 0.0011780972448751821, -0.00039269908162506076, 0.0)","(0.0, 0.0, 4.144, -15.02, 0.872, -24.444, 0.336, 0.144, -0.308, 1.124, -14.368, -0.028, -23.032, 0.388, 0.532, 0.072, -20.48)"
2017/07/11/16:09:47.367265,3078783,1499760591,313187440,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3762087882288977, 1.262849683626667, -0.8406214717612067, -0.9648739155799253, -0.2051699303796741, 1.1869176346263388, 1.6616846884768743, 0.04678641403050512, 1.8553497629474078, -0.9468496413222717, -1.4166312576121796, 0.0724805922275858, 1.215296279202219, -0.16758740107648146, -12.565987119160338)","(0.0, 0.0027488935713754254, -0.0620464548967596, 0.022776546734253524, -0.01021017612225158, 0.03063052836675474, -0.019634954081253035, -0.05811946408050899, 0.027881634795379313, -0.01688606050987761, 0.023954643979128706, 0.006283185306000972, 0.0023561944897503642, -0.0027488935713754254, 0.018849555918002914, 0.01727875959150267, 0.0)","(0.0, 0.0, 4.272, -15.112, 0.872, -24.444, 0.348, 0.096, -0.316, 1.028, -14.368, 0.092, -23.032, 0.376, 0.52, 0.084, -20.48)"
