time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.quat0,.quat1,.quat2,.quat3,.acc0,.acc1,.acc2
2017/07/11/16:16:33.125751,216339,1499760993,125454902,0,3376,4322,9806,11924,339,1910,294
2017/07/11/16:16:33.147946,216340,1499760993,147799968,0,3374,4331,9815,11913,341,2067,330
2017/07/11/16:16:33.163315,216341,1499760993,163068056,0,3365,4331,9819,11913,309,2015,317
2017/07/11/16:16:33.185863,216342,1499760993,185558080,0,3358,4334,9818,11915,333,1936,269
2017/07/11/16:16:33.208401,216343,1499760993,208031892,0,3341,4327,9839,11904,538,1944,368
2017/07/11/16:16:33.230323,216344,1499760993,230201959,0,3309,4276,9869,11907,401,1976,404
2017/07/11/16:16:33.245564,216345,1499760993,245336055,0,3276,4195,9909,11911,276,2021,390
2017/07/11/16:16:33.268038,216346,1499760993,267853021,0,3210,4120,9943,11927,525,2122,442
2017/07/11/16:16:33.283315,216347,1499760993,283044099,0,3203,3981,10024,11909,34,2422,151
2017/07/11/16:16:33.305420,216348,1499760993,305207014,0,3172,3849,10050,11938,230,2146,326
2017/07/11/16:16:33.328783,216349,1499760993,328103065,0,3160,3690,10099,11951,193,2007,371
2017/07/11/16:16:33.343440,216350,1499760993,343144893,0,3163,3505,10185,11932,15,2069,291
2017/07/11/16:16:33.373093,216351,1499760993,372893095,0,3168,3320,10287,11897,21,2114,296
2017/07/11/16:16:33.389124,216352,1499760993,387805938,0,3181,3117,10371,11875,-9,2156,324
2017/07/11/16:16:33.411178,216353,1499760993,410712003,0,3204,2890,10446,11860,-120,2167,293
2017/07/11/16:16:33.425912,216354,1499760993,425568103,0,3239,2651,10515,11846,-195,2097,260
2017/07/11/16:16:33.458167,216355,1499760993,457063913,0,3274,2410,10591,11820,-281,2029,250
2017/07/11/16:16:33.470796,216356,1499760993,470479965,0,3320,2160,10674,11781,-345,2009,267
2017/07/11/16:16:33.485272,216357,1499760993,485063076,0,3374,1902,10758,11733,-413,2029,264
2017/07/11/16:16:33.509456,216358,1499760993,509187936,0,3435,1647,10837,11682,-457,2032,254
2017/07/11/16:16:33.530986,216359,1499760993,530622005,0,3502,1388,10893,11643,-514,2001,259
2017/07/11/16:16:33.545320,216360,1499760993,545103073,0,3577,1134,10946,11598,-571,1931,209
2017/07/11/16:16:33.568315,216361,1499760993,568018913,0,3646,890,11005,11541,-594,1932,202
2017/07/11/16:16:33.591780,216362,1499760993,591504096,0,3714,652,11060,11483,-653,1957,228
2017/07/11/16:16:33.605968,216363,1499760993,605518102,0,3792,421,11104,11426,-703,1942,164
2017/07/11/16:16:33.627772,216364,1499760993,627540111,0,3873,200,11134,11375,-714,1887,146
2017/07/11/16:16:33.650811,216365,1499760993,650330066,0,3956,-13,11155,11328,-745,1845,174
2017/07/11/16:16:33.666243,216366,1499760993,665705919,0,4033,-207,11169,11285,-779,1848,173
2017/07/11/16:16:33.688721,216367,1499760993,688235044,0,4118,-392,11178,11241,-826,1847,122
2017/07/11/16:16:33.710997,216368,1499760993,710685014,0,4215,-567,11176,11199,-857,1781,138
