time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.quat0,.quat1,.quat2,.quat3,.acc0,.acc1,.acc2
2017/07/11/15:54:45.380734,151054,1499759685,378861904,0,5516,6106,8673,11202,308,1944,345
2017/07/11/15:54:45.395615,151055,1499759685,395271062,0,5522,6105,8683,11192,326,1854,313
2017/07/11/15:54:45.407877,151056,1499759685,407649040,0,5532,6099,8705,11172,223,1912,252
2017/07/11/15:54:45.430666,151057,1499759685,430438041,0,5526,6101,8716,11166,385,2004,316
2017/07/11/15:54:45.452959,151058,1499759685,452661037,0,5517,6098,8717,11171,289,2018,278
2017/07/11/15:54:45.467896,151059,1499759685,467717885,0,5509,6092,8711,11183,282,1953,309
2017/07/11/15:54:45.490188,151060,1499759685,489990949,0,5508,6088,8717,11181,258,1896,332
2017/07/11/15:54:45.513098,151061,1499759685,512706995,0,5493,6093,8730,11176,259,1886,308
2017/07/11/15:54:45.528348,151062,1499759685,528119087,0,5465,6101,8741,11176,314,2003,220
2017/07/11/15:54:45.566499,151063,1499759685,566116094,0,5438,6100,8731,11197,364,2013,327
2017/07/11/15:54:45.574542,151064,1499759685,574278116,0,5421,6108,8728,11204,300,1882,291
2017/07/11/15:54:45.588048,151065,1499759685,587852954,0,5404,6126,8741,11193,278,1890,294
2017/07/11/15:54:45.611238,151066,1499759685,611053943,0,5379,6152,8762,11174,299,1972,201
2017/07/11/15:54:45.632949,151067,1499759685,632735013,0,5367,6162,8751,11182,350,2009,295
2017/07/11/15:54:45.655364,151068,1499759685,655101060,0,5355,6169,8742,11192,339,1878,248
2017/07/11/15:54:45.671835,151069,1499759685,671380996,0,5341,6178,8740,11194,292,1868,253
2017/07/11/15:54:45.692981,151070,1499759685,692785024,0,5326,6195,8737,11195,360,1967,223
2017/07/11/15:54:45.715183,151071,1499759685,714998006,0,5325,6184,8724,11211,348,2078,288
2017/07/11/15:54:45.730625,151072,1499759685,730379104,0,5328,6174,8703,11232,310,1919,360
2017/07/11/15:54:45.752884,151073,1499759685,752655029,0,5311,6173,8696,11246,351,1827,325
2017/07/11/15:54:45.775385,151074,1499759685,775239944,0,5279,6183,8712,11243,369,1912,231
2017/07/11/15:54:45.794155,151075,1499759685,793899059,0,5242,6196,8740,11231,402,2040,256
2017/07/11/15:54:45.814639,151076,1499759685,814418077,0,5222,6199,8775,11212,372,2058,178
2017/07/11/15:54:45.835415,151077,1499759685,835230112,0,5221,6183,8799,11202,428,2065,283
2017/07/11/15:54:45.850021,151078,1499759685,849889039,0,5212,6150,8818,11210,426,2014,336
2017/07/11/15:54:45.872819,151079,1499759685,872561931,0,5187,6107,8848,11221,369,1953,325
2017/07/11/15:54:45.895480,151080,1499759685,895302057,0,5151,6053,8892,11233,388,2126,349
2017/07/11/15:54:45.910227,151081,1499759685,910080909,0,5142,6016,9029,11147,150,2092,-7
2017/07/11/15:54:45.933343,151082,1499759685,933003902,0,5110,5955,9096,11139,340,2144,412
2017/07/11/15:54:45.955475,151083,1499759685,955087900,0,5086,5891,9182,11114,222,2069,204
2017/07/11/15:54:45.970350,151084,1499759685,970174074,0,5052,5814,9265,11101,285,2052,242
2017/07/11/15:54:45.993768,151085,1499759685,993202924,0,5044,5717,9360,11075,143,1998,234
2017/07/11/15:54:46.015415,151086,1499759686,15211105,0,5050,5613,9463,11039,139,2045,223
2017/07/11/15:54:46.030459,151087,1499759686,30245065,0,5058,5499,9556,11013,159,2082,233
2017/07/11/15:54:46.052703,151088,1499759686,52519083,0,5058,5383,9638,10998,126,2002,220
2017/07/11/15:54:46.075500,151089,1499759686,75252056,0,5071,5253,9725,10978,28,2007,214
2017/07/11/15:54:46.091881,151090,1499759686,91566085,0,5104,5114,9822,10942,-66,2028,134
2017/07/11/15:54:46.113333,151091,1499759686,113037109,0,5153,4970,9909,10907,-38,2075,147
2017/07/11/15:54:46.135593,151092,1499759686,135267019,0,5196,4830,9997,10869,-50,2029,199
2017/07/11/15:54:46.150131,151093,1499759686,150026082,0,5237,4691,10095,10820,-119,2024,192
2017/07/11/15:54:46.173081,151094,1499759686,172627925,0,5294,4545,10192,10763,-192,2072,126
2017/07/11/15:54:46.203924,151095,1499759686,203336000,0,5358,4397,10276,10713,-217,2098,135
