time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2017/07/11/15:20:00.396163,2779734,1499757604,345849842,,0.782081065116,0.397913584689,0.167441312645,0.623082007328,0.779520112333,0.0556068413627,0.0320169612248,0.0104655901378,-0.020325958924,-0.00250525750186,-0.0126891869849,-0.0102710066402,-0.0238431596828,5.34303474426,2.22002720833,-2.08670091629,-0.830347120762,2.04894018173,0.112499460578
2017/07/11/15:20:00.406419,2779735,1499757604,355852254,,0.781754823778,0.396965044058,0.166665372749,0.623553889996,0.779213740573,0.0547034420114,0.031843778134,-0.00235698962559,-0.00995418346328,-0.00570034485675,-0.0207275540511,0.0155179168181,-0.000814468892483,5.46237802505,2.27692866325,-2.05225205421,-0.832961380482,2.09328532219,0.106189697981
2017/07/11/15:20:00.416302,2779736,1499757604,365849247,,0.781744614783,0.397991446712,0.167267039291,0.623020954538,0.779600780549,0.0552092961745,0.0319287768409,0.00530003410101,-0.0178998122968,0.0166181549956,-0.0394530488171,-0.0186992867105,-0.00273004821815,5.10476493835,2.22126460075,-2.16628408432,-0.818555116653,1.95221352577,0.143895074725
2017/07/11/15:20:00.426362,2779737,1499757604,375854893,,0.782245478757,0.397265593938,0.167461277483,0.623426009103,0.779257152485,0.055230736976,0.0323707764441,0.0107437948737,-0.0124664944712,0.00634865784107,-0.0051870550595,-0.026393530229,-0.0318647028788,5.52462244034,2.15501832962,-1.95426011086,-0.678604543209,2.18328857422,0.233961060643
2017/07/11/15:20:00.436390,2779738,1499757604,385851169,,0.782042246572,0.396591538035,0.166931945136,0.624179000513,0.778682374965,0.0550753072887,0.0319537910863,0.0117265939595,-0.0153182285856,-0.000601909109922,0.0224710085032,-0.0148015710405,-0.0445543152102,5.58828926086,2.1454167366,-1.98901343346,-0.690625071526,2.22175240517,0.237133622169
2017/07/11/15:20:00.446195,2779739,1499757604,395853093,,0.782293655556,0.396517000905,0.166861008764,0.624102081065,0.778726481376,0.0553555037142,0.031897144427,0.00835025608666,-0.030110760032,0.000901609557787,-0.00612222076919,-0.0071718023063,-0.063792715384,5.58325815201,2.22061371803,-2.12094712257,-0.716740727425,2.18815112114,0.253822863102
2017/07/11/15:20:00.456370,2779740,1499757604,405854993,,0.781860349735,0.397302048114,0.167270743363,0.6242620078,0.778606349814,0.0553227402228,0.0317567640285,-0.000239598281493,-0.0216080059285,-0.00623939933665,0.00421475899568,0.0151774618941,-0.0652777213989,5.12624359131,2.01463532448,-2.03539466858,-0.576979875565,2.04586791992,0.297447621822
2017/07/11/15:20:00.466134,2779741,1499757604,415860339,,0.782340262173,0.39581174011,0.166953429234,0.625812819143,0.777354103425,0.0552667435412,0.0320078169026,0.0118942378709,-0.0261164832823,0.00144660015052,0.00881519227463,-0.00470264663738,-0.161973825716,4.66221904755,2.072514534,-2.2270526886,-0.631099760532,1.85126781464,0.256254762411
2017/07/11/15:20:00.478722,2779742,1499757604,425848894,,0.782495901883,0.396059679034,0.167182796727,0.626637805411,0.776666556374,0.0556323953818,0.0319242482202,0.0123828181066,-0.0169845840515,0.00471699586931,0.0179061909554,-0.0138808227796,-0.220778674962,4.63099145889,1.89961266518,-2.2307806015,-0.596740663052,1.83530604839,0.243134140968
2017/07/11/15:20:00.486258,2779743,1499757604,435849923,,0.782683013247,0.395604418057,0.167352607099,0.627600146807,0.7758883645,0.0554524626381,0.0322540842295,0.0183104275847,-0.0283256671285,0.0128714683445,0.0273025747084,-0.0219019667734,-0.294561301634,5.01655197144,1.98006498814,-2.07962703705,-0.616706430912,2.01759958267,0.288397371769
2017/07/11/15:20:00.496472,2779744,1499757604,445853321,,0.783000184276,0.394613877558,0.1672599832,0.628992341922,0.774755079781,0.0553666408204,0.0325228418467,0.0153784523591,-0.04353641461,0.00189908194551,0.0110261622564,-0.00183615232615,-0.312902586267,5.02599430084,2.13470029831,-1.94980919361,-0.629285335541,2.06187343597,0.25032094121
2017/07/11/15:20:00.506330,2779745,1499757604,455856498,,0.783247404935,0.395287875047,0.167643050603,0.628991341063,0.77471691713,0.0559572000993,0.0324404521903,0.0197232324146,-0.0405394125015,0.0108977342776,-0.00521132069539,-0.02428850969,-0.235221985139,5.32413959503,1.66653609276,-1.8508002758,-0.415399968624,2.19685554504,0.536045968533
