time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.quat0,.quat1,.quat2,.quat3,.acc0,.acc1,.acc2
2017/07/11/15:23:00.300700,55971,1499757780,300510883,0,5557,6084,8312,11464,406,1829,453
2017/07/11/15:23:00.317010,55972,1499757780,316819906,0,5550,6105,8266,11489,397,1733,383
2017/07/11/15:23:00.337200,55973,1499757780,336945056,0,5555,6127,8251,11486,414,1817,463
2017/07/11/15:23:00.361191,55974,1499757780,361042022,0,5573,6140,8242,11477,362,1942,496
2017/07/11/15:23:00.374298,55975,1499757780,374092102,0,5601,6123,8209,11496,283,1887,536
2017/07/11/15:23:00.397269,55976,1499757780,397079944,0,5613,6112,8162,11529,395,1724,547
2017/07/11/15:23:00.419170,55977,1499757780,418960094,0,5618,6123,8150,11529,479,1819,507
2017/07/11/15:23:00.434835,55978,1499757780,434515953,0,5619,6143,8172,11503,429,2016,380
2017/07/11/15:23:00.456989,55979,1499757780,456696987,0,5626,6143,8178,11495,334,2042,433
2017/07/11/15:23:00.479186,55980,1499757780,479013919,0,5629,6137,8163,11507,369,1873,494
2017/07/11/15:23:00.502002,55981,1499757780,501589059,0,5626,6134,8168,11507,462,1854,507
2017/07/11/15:23:00.524856,55982,1499757780,524732112,0,5616,6113,8192,11506,514,1959,556
2017/07/11/15:23:00.539156,55983,1499757780,538975000,0,5627,6051,8231,11506,335,2076,531
2017/07/11/15:23:00.554254,55984,1499757780,554037094,0,5665,5973,8304,11475,115,2122,469
2017/07/11/15:23:00.576734,55985,1499757780,576574087,0,5673,5912,8362,11461,296,2186,522
2017/07/11/15:23:00.599295,55986,1499757780,599128007,0,5700,5825,8448,11429,237,2166,461
2017/07/11/15:23:00.630668,55987,1499757780,629964113,0,5747,5706,8528,11406,157,2159,487
2017/07/11/15:23:00.636721,55988,1499757780,636567115,0,5806,5564,8615,11381,68,2066,495
2017/07/11/15:23:00.667421,55989,1499757780,667218923,0,5865,5420,8709,11348,-3,2036,451
2017/07/11/15:23:00.682080,55990,1499757780,681844949,0,5931,5275,8827,11291,-45,2049,448
2017/07/11/15:23:00.716658,55991,1499757780,716095924,0,6011,5124,8947,11224,-69,2091,481
2017/07/11/15:23:00.719163,55992,1499757780,718981027,0,6088,4971,9063,11158,-80,2098,469
2017/07/11/15:23:00.741918,55993,1499757780,741645097,0,6163,4803,9167,11105,-164,2100,448
2017/07/11/15:23:00.764509,55994,1499757780,764312028,0,6238,4636,9271,11047,-256,1946,386
2017/07/11/15:23:00.779174,55995,1499757780,778991937,0,6316,4480,9377,10977,-249,1927,436
2017/07/11/15:23:00.801866,55996,1499757780,801706075,0,6388,4331,9498,10892,-267,1917,474
2017/07/11/15:23:00.817086,55997,1499757780,816870927,0,6453,4184,9601,10821,-250,1997,471
2017/07/11/15:23:00.839696,55998,1499757780,839473962,0,6516,4033,9687,10763,-336,1971,383
2017/07/11/15:23:00.861608,55999,1499757780,861465930,0,6586,3883,9766,10704,-383,1858,367
2017/07/11/15:23:00.877159,56000,1499757780,876949071,0,6657,3746,9848,10634,-367,1763,374
2017/07/11/15:23:00.899512,56001,1499757780,899288892,0,6724,3619,9928,10561,-391,1819,356
2017/07/11/15:23:00.921870,56002,1499757780,921542882,0,6788,3498,10008,10486,-418,1924,396
2017/07/11/15:23:00.936866,56003,1499757780,936686992,0,6845,3373,10075,10424,-480,1981,347
2017/07/11/15:23:00.960279,56004,1499757780,959511041,0,6907,3250,10119,10380,-564,1903,322
2017/07/11/15:23:00.981584,56005,1499757780,981447935,0,6974,3141,10157,10331,-542,1758,289
2017/07/11/15:23:00.996866,56006,1499757780,996546030,0,7037,3047,10208,10266,-543,1762,320
2017/07/11/15:23:01.019389,56007,1499757781,19198894,0,7094,2962,10257,10203,-533,1896,346
2017/07/11/15:23:01.041936,56008,1499757781,41718959,0,7148,2870,10302,10146,-594,1951,363
2017/07/11/15:23:01.056955,56009,1499757781,56744098,0,7197,2771,10329,10111,-657,1926,351
2017/07/11/15:23:01.079765,56010,1499757781,79478025,0,7256,2663,10351,10076,-750,1850,330
2017/07/11/15:23:01.101787,56011,1499757781,101598978,0,7320,2565,10374,10032,-800,1752,293
2017/07/11/15:23:01.116870,56012,1499757781,116686105,0,7377,2490,10409,9972,-749,1794,341
2017/07/11/15:23:01.139337,56013,1499757781,139102935,0,7429,2418,10438,9920,-789,1899,331
2017/07/11/15:23:01.162476,56014,1499757781,162302970,0,7477,2335,10443,9899,-815,1885,347
2017/07/11/15:23:01.176711,56015,1499757781,176539897,0,7538,2239,10432,9887,-839,1776,350
2017/07/11/15:23:01.200081,56016,1499757781,199500083,0,7606,2150,10434,9852,-936,1719,257
2017/07/11/15:23:01.222059,56017,1499757781,221848964,0,7672,2073,10432,9820,-894,1750,309
2017/07/11/15:23:01.236761,56018,1499757781,236546039,0,7736,1999,10420,9797,-853,1745,330
2017/07/11/15:23:01.259349,56019,1499757781,259171009,0,7802,1925,10409,9772,-883,1719,386
2017/07/11/15:23:01.281674,56020,1499757781,281546115,0,7876,1852,10403,9733,-1023,1779,336
2017/07/11/15:23:01.298037,56021,1499757781,297849893,0,7944,1792,10391,9701,-956,1809,366
2017/07/11/15:23:01.319323,56022,1499757781,319108009,0,7999,1723,10355,9707,-907,1742,366
2017/07/11/15:23:01.350064,56023,1499757781,349910020,0,8059,1651,10315,9712,-992,1586,367
2017/07/11/15:23:01.356642,56024,1499757781,356482982,0,8133,1584,10295,9683,-1108,1622,371
